Export:,Graph,,,
File:,weight-shift1,,,
Units:,N,,,
Graphed Value:,Estimated Load,,,
Frame,Date,Time,Left Insole,Right Insole
503,2026-03-27,09:17:55,323.276629,127.518383
504,2026-03-27,09:17:55,326.207143,127.854438
505,2026-03-27,09:17:55,328.400507,127.608724
506,2026-03-27,09:17:55,332.642695,129.556366
507,2026-03-27,09:17:55,334.843254,129.339566
508,2026-03-27,09:17:55,338.995102,129.726204
509,2026-03-27,09:17:55,342.023186,127.778555
510,2026-03-27,09:17:55,346.409879,126.098305
511,2026-03-27,09:17:55,347.920324,122.614945
512,2026-03-27,09:17:55,349.44156,121.346625
513,2026-03-27,09:17:55,352.158881,115.810834
514,2026-03-27,09:17:55,353.593408,112.313024
515,2026-03-27,09:17:55,354.457043,109.758314
516,2026-03-27,09:17:55,356.77326,106.549582
517,2026-03-27,09:17:55,358.504093,103.01563
518,2026-03-27,09:17:55,358.60526,100.03454
519,2026-03-27,09:17:55,364.097696,97.602699
520,2026-03-27,09:17:55,361.907964,89.067747
521,2026-03-27,09:17:55,365.347944,85.378421
522,2026-03-27,09:17:55,370.533249,82.736993
523,2026-03-27,09:17:55,375.342732,78.24187
524,2026-03-27,09:17:55,379.436751,73.37818
525,2026-03-27,09:17:55,380.285928,69.826165
526,2026-03-27,09:17:55,382.790021,65.9923
527,2026-03-27,09:17:55,384.072815,62.891968
528,2026-03-27,09:17:55,386.898531,58.646173
529,2026-03-27,09:17:55,387.429683,52.915251
530,2026-03-27,09:17:55,388.05121,51.820381
531,2026-03-27,09:17:55,389.081035,49.825758
532,2026-03-27,09:17:55,387.165923,46.848283
533,2026-03-27,09:17:55,387.223718,44.766938
534,2026-03-27,09:17:55,384.556998,43.028872
535,2026-03-27,09:17:55,386.360117,41.540134
536,2026-03-27,09:17:55,384.098098,40.788539
537,2026-03-27,09:17:55,384.950873,40.419968
538,2026-03-27,09:17:55,384.611195,39.852656
539,2026-03-27,09:17:55,384.972559,39.082993
540,2026-03-27,09:17:55,387.104496,39.108289
541,2026-03-27,09:17:55,388.701617,38.772238
542,2026-03-27,09:17:55,388.231892,37.670139
543,2026-03-27,09:17:55,390.165058,35.382829
544,2026-03-27,09:17:55,388.452314,34.421654
545,2026-03-27,09:17:55,390.70707,34.038628
546,2026-03-27,09:17:55,389.637504,30.793757
547,2026-03-27,09:17:55,388.358342,29.716952
548,2026-03-27,09:17:55,390.457767,28.759389
549,2026-03-27,09:17:55,389.760357,28.018633
550,2026-03-27,09:17:55,389.138864,23.617461
551,2026-03-27,09:17:55,388.781132,22.320235
552,2026-03-27,09:17:55,391.097348,20.618304
553,2026-03-27,09:17:55,392.488504,18.211751
554,2026-03-27,09:17:55,393.225654,16.741079
555,2026-03-27,09:17:55,390.775759,16.592929
556,2026-03-27,09:17:55,393.673728,16.408643
557,2026-03-27,09:17:55,392.943806,16.556794
558,2026-03-27,09:17:55,394.078429,16.408643
