Export:,Graph,,,
File:,walk,,,
Units:,N/cm²,,,
Graphed Value:,Peak Pressure,,,
Frame,Date,Time,Left Insole,Right Insole
505,2026-03-27,09:20:51,9.40488,0
506,2026-03-27,09:20:51,9.175952,0
507,2026-03-27,09:20:51,8.780042,0
508,2026-03-27,09:20:52,8.553808,0
509,2026-03-27,09:20:52,8.327574,0
510,2026-03-27,09:20:52,8.10134,0
511,2026-03-27,09:20:52,7.875105,0
512,2026-03-27,09:20:52,7.861639,0
513,2026-03-27,09:20:52,7.861639,0
514,2026-03-27,09:20:52,7.635405,0
515,2026-03-27,09:20:52,7.635405,0
516,2026-03-27,09:20:52,7.635405,0
517,2026-03-27,09:20:52,7.406477,0
518,2026-03-27,09:20:52,7.406477,0
519,2026-03-27,09:20:52,7.17755,0
520,2026-03-27,09:20:52,7.279894,0
521,2026-03-27,09:20:52,7.506128,0
522,2026-03-27,09:20:52,7.958597,0
523,2026-03-27,09:20:52,7.958597,0
524,2026-03-27,09:20:52,7.958597,0
525,2026-03-27,09:20:52,8.182138,0
526,2026-03-27,09:20:52,7.958597,0
527,2026-03-27,09:20:52,8.408372,0
528,2026-03-27,09:20:52,8.408372,0
529,2026-03-27,09:20:52,7.958597,0
530,2026-03-27,09:20:52,7.958597,0
531,2026-03-27,09:20:52,7.958597,0
532,2026-03-27,09:20:52,7.958597,0
533,2026-03-27,09:20:52,7.729669,0
534,2026-03-27,09:20:52,7.506128,0
535,2026-03-27,09:20:52,7.729669,0
536,2026-03-27,09:20:52,7.729669,0
537,2026-03-27,09:20:52,7.506128,0
538,2026-03-27,09:20:52,7.506128,0
539,2026-03-27,09:20:52,7.729669,0
540,2026-03-27,09:20:52,8.0771,0
541,2026-03-27,09:20:52,9.011663,0
542,2026-03-27,09:20:52,9.714605,0
543,2026-03-27,09:20:52,10.740739,0
544,2026-03-27,09:20:52,11.947321,0
545,2026-03-27,09:20:52,13.460936,0
546,2026-03-27,09:20:52,14.365873,0
547,2026-03-27,09:20:52,15.876794,0
548,2026-03-27,09:20:52,16.784424,0
549,2026-03-27,09:20:52,17.912902,0
550,2026-03-27,09:20:52,18.365371,0
551,2026-03-27,09:20:52,19.262228,0
552,2026-03-27,09:20:52,19.714696,0
553,2026-03-27,09:20:52,20.161778,0
554,2026-03-27,09:20:52,20.611553,0
555,2026-03-27,09:20:52,21.061328,0
556,2026-03-27,09:20:52,21.50841,0
557,2026-03-27,09:20:52,22.410654,0
558,2026-03-27,09:20:52,23.310204,0
559,2026-03-27,09:20:52,23.765366,0
560,2026-03-27,09:20:52,24.662223,0
561,2026-03-27,09:20:52,24.662223,0
562,2026-03-27,09:20:52,25.55908,0
563,2026-03-27,09:20:52,25.55908,0
564,2026-03-27,09:20:52,26.014242,0
565,2026-03-27,09:20:52,26.014242,0.794513
566,2026-03-27,09:20:52,26.46671,1.30354
567,2026-03-27,09:20:52,26.913792,2.003789
568,2026-03-27,09:20:52,27.818729,3.081095
569,2026-03-27,09:20:52,28.265811,4.893662
570,2026-03-27,09:20:52,28.265811,6.5177
571,2026-03-27,09:20:52,29.170748,7.875105
572,2026-03-27,09:20:52,29.170748,9.060142
573,2026-03-27,09:20:52,29.170748,10.002784
574,2026-03-27,09:20:52,29.61783,10.522584
575,2026-03-27,09:20:52,30.070298,11.08009
576,2026-03-27,09:20:52,29.61783,11.387122
577,2026-03-27,09:20:52,30.070298,11.88807
578,2026-03-27,09:20:52,29.61783,12.300139
579,2026-03-27,09:20:52,29.170748,12.601785
580,2026-03-27,09:20:52,29.170748,13.110812
581,2026-03-27,09:20:52,29.962568,13.514801
582,2026-03-27,09:20:52,29.962568,13.722183
583,2026-03-27,09:20:52,30.420423,14.029215
584,2026-03-27,09:20:52,30.880971,14.123479
585,2026-03-27,09:20:52,31.333439,14.123479
586,2026-03-27,09:20:52,31.333439,14.333554
587,2026-03-27,09:20:52,30.880971,14.123479
588,2026-03-27,09:20:52,31.333439,14.427818
589,2026-03-27,09:20:52,30.880971,14.333554
590,2026-03-27,09:20:52,30.880971,14.123479
591,2026-03-27,09:20:52,29.962568,13.81914
